state code,state,county,cz,czname,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_se, pooled_pooled_count ,kfr_black_pooled_p25,kfr_black_pooled_p25_se,kfr_hisp_pooled_p25,kfr_hisp_pooled_p25_se,kfr_white_pooled_p25,kfr_white_pooled_p25_se,jail_black_pooled_p25,jail_black_pooled_p25_se,jail_hisp_pooled_p25,jail_hisp_pooled_p25_se,jail_white_pooled_p25,jail_white_pooled_p25_se, white_pooled_count , black_pooled_count , hisp_pooled_count ,kfr_pooled_female_p25,kfr_pooled_female_p25_se,kfr_pooled_male_p25,kfr_pooled_male_p25_se,jail_pooled_female_p25,jail_pooled_female_p25_se,jail_pooled_male_p25,jail_pooled_male_p25_se, pooled_male_count , pooled_female_count ,kfr_black_female_p25,kfr_black_female_p25_se,kfr_hisp_female_p25,kfr_hisp_female_p25_se,kfr_white_female_p25,kfr_white_female_p25_se,kfr_black_male_p25,kfr_black_male_p25_se,kfr_hisp_male_p25,kfr_hisp_male_p25_se,kfr_white_male_p25,kfr_white_male_p25_se,jail_black_female_p25,jail_black_female_p25_se,jail_hisp_female_p25,jail_hisp_female_p25_se,jail_white_female_p25,jail_white_female_p25_se,jail_black_male_p25,jail_black_male_p25_se,jail_hisp_male_p25,jail_hisp_male_p25_se,jail_white_male_p25,jail_white_male_p25_se, white_male_count , black_male_count , hisp_male_count , white_female_count , black_female_count , hisp_female_count 
13,GEORGIA,309,9001,Vidalia,0.36,0.02,0.03,0.01,"  1,065 ",0.37,0.03,,,0.37,0.02,0.0,0.02,,,0.04,0.02,  581 ,  425 ,,0.35,0.02,0.38,0.02,0.0,0.01,0.04,0.02,  575 ,  489 ,0.36,0.04,,,0.36,0.04,0.34,0.04,,,0.39,0.03,0.01,0.02,,,0.0,0.02,0.01,0.05,,,0.068,0.039,  315 ,  220 ,,  266 ,  205 ,
13,GEORGIA,311,9400,Gainesville,0.42,0.01,0.01,0.0,"  2,509 ",0.31,0.04,0.55,0.07,0.43,0.01,0.0,0.03,-0.02,0.03,0.01,0.0,"  2,317 ",  73 ,  53 ,0.43,0.01,0.41,0.01,0.0,0.0,0.01,0.0,"  1,285 ","  1,222 ",0.31,0.05,,,0.44,0.01,,,0.47,0.09,0.42,0.01,,,,,0.0,0.0,,,,,0.007,0.003,"  1,176 ",,  32 ,"  1,140 ",  32 ,
13,GEORGIA,313,6600,Rome,0.36,0.0,0.02,0.0,"  13,350 ",0.32,0.01,0.4,0.01,0.38,0.01,0.07,0.02,0.01,0.0,0.02,0.0,"  6,747 ",  669 ,"  6,201 ",0.36,0.0,0.35,0.01,0.0,0.0,0.04,0.0,"  6,948 ","  6,403 ",0.31,0.02,0.4,0.01,0.38,0.01,0.33,0.02,0.4,0.01,0.37,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.14,0.03,0.024,0.01,0.032,0.005,"  3,490 ",  338 ,"  3,312 ","  3,259 ",  331 ,"  2,891 "
13,GEORGIA,315,8502,Cordele,0.36,0.01,0.04,0.01,"  1,264 ",0.29,0.02,,,0.4,0.02,0.12,0.05,,,0.0,0.0,  638 ,  724 ,,0.36,0.02,0.36,0.02,0.01,0.01,0.05,0.02,  640 ,  625 ,0.3,0.02,,,0.4,0.03,0.27,0.03,,,0.4,0.02,0.05,0.04,,,0.0,0.01,0.31,0.07,,,0.001,0.006,  341 ,  348 ,,  296 ,  377 ,
13,GEORGIA,317,8402,Washington,0.36,0.01,0.04,0.01,"  1,727 ",0.32,0.01,0.33,0.07,0.44,0.02,0.06,0.01,0.02,0.06,0.01,0.01,  570 ,"  1,070 ",  30 ,0.37,0.01,0.35,0.01,0.0,0.0,0.08,0.02,  895 ,  831 ,0.32,0.01,,,0.48,0.03,0.31,0.02,,,0.41,0.03,0.0,0.0,,,0.0,0.01,0.13,0.03,,,0.02,0.017,  316 ,  528 ,,  253 ,  542 ,
13,GEORGIA,319,9002,Milledgeville,0.32,0.01,0.03,0.01,"  1,619 ",0.3,0.01,,,0.35,0.02,0.02,0.0,,,0.04,0.02,  653 ,"  1,039 ",,0.35,0.01,0.3,0.02,0.01,0.01,0.06,0.02,  768 ,  853 ,0.32,0.02,,,0.37,0.03,0.29,0.02,,,0.33,0.03,0.0,0.01,,,0.01,0.01,0.04,0.01,,,0.061,0.032,  307 ,  504 ,,  347 ,  532 ,
13,GEORGIA,321,10200,Albany,0.36,0.01,0.02,0.0,"  3,857 ",0.32,0.01,0.33,0.04,0.41,0.01,0.01,0.0,-0.01,0.03,0.02,0.01,"  1,824 ","  2,035 ",  76 ,0.37,0.01,0.34,0.01,0.01,0.0,0.03,0.01,"  1,920 ","  1,937 ",0.32,0.01,,,0.44,0.02,0.31,0.01,0.29,0.05,0.38,0.01,0.0,0.0,,,0.0,0.0,0.03,0.01,,,0.04,0.013,  929 ,  962 ,  45 ,  894 ,"  1,073 ",
15,HAWAII,1,35600,Hilo,0.41,0.0,0.02,0.0,"  18,362 ",0.42,0.05,0.39,0.01,0.44,0.01,0.12,0.07,0.01,0.0,0.02,0.0,"  3,189 ",  73 ,"  3,650 ",0.43,0.01,0.4,0.01,0.0,0.0,0.03,0.0,"  9,725 ","  8,643 ",0.56,0.07,0.4,0.01,0.46,0.01,0.35,0.06,0.39,0.01,0.42,0.01,0.02,0.03,0.0,0.0,0.0,0.0,0.24,0.12,0.033,0.01,0.034,0.009,"  1,606 ",  40 ,"  2,003 ","  1,580 ",  35 ,"  1,665 "
15,HAWAII,3,34701,Honolulu,0.46,0.0,0.01,0.0,"  80,133 ",0.39,0.01,0.44,0.0,0.45,0.0,0.04,0.01,0.01,0.0,0.02,0.0,"  7,950 ","  2,939 ","  10,848 ",0.47,0.0,0.44,0.0,0.0,0.0,0.02,0.0,"  41,470 ","  38,664 ",0.42,0.01,0.45,0.01,0.47,0.01,0.36,0.01,0.43,0.01,0.44,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.027,0.0,0.03,0.004,"  4,168 ","  1,515 ","  5,488 ","  3,784 ","  1,419 ","  5,355 "
15,HAWAII,7,34702,Kapaa,0.44,0.01,0.03,0.01,"  6,790 ",0.37,0.07,0.44,0.02,0.45,0.02,0.06,0.06,0.02,0.01,0.04,0.01,"  1,267 ",  24 ,"  1,018 ",0.48,0.01,0.4,0.01,0.01,0.0,0.04,0.01,"  3,549 ","  3,240 ",,,0.5,0.03,0.5,0.02,,,0.38,0.03,0.41,0.02,,,0.02,0.01,0.01,0.01,,,0.016,0.01,0.052,0.023,  675 ,,  495 ,  591 ,,  526 
15,HAWAII,9,34703,Kahului,0.44,0.0,0.02,0.0,"  13,513 ",0.42,0.05,0.42,0.01,0.46,0.01,0.18,0.07,0.02,0.01,0.02,0.01,"  2,656 ",  42 ,"  2,009 ",0.45,0.01,0.42,0.01,0.01,0.0,0.04,0.01,"  6,974 ","  6,538 ",0.48,0.07,0.42,0.02,0.49,0.01,0.36,0.05,0.41,0.02,0.43,0.01,0.02,0.06,0.01,0.0,0.02,0.01,0.19,0.11,0.029,0.01,0.03,0.009,"  1,362 ",  26 ,"  1,042 ","  1,294 ",  17 ,  967 
16,IDAHO,1,35801,Boise City,0.43,0.0,0.03,0.0,"  27,325 ",0.37,0.03,0.42,0.01,0.44,0.0,0.04,0.02,0.04,0.01,0.03,0.0,"  22,489 ",  329 ,"  2,594 ",0.44,0.0,0.42,0.0,0.01,0.0,0.05,0.0,"  13,884 ","  13,438 ",0.4,0.03,0.42,0.01,0.46,0.0,0.3,0.04,0.41,0.01,0.43,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.1,0.05,0.084,0.02,0.043,0.004,"  11,498 ",  151 ,"  1,257 ","  10,988 ",  169 ,"  1,335 "
16,IDAHO,3,35803,McCall,0.5,0.02,0.01,0.0,  579 ,,,,,0.52,0.02,,,,,0.0,0.0,  538 ,,,0.54,0.03,0.48,0.03,0.0,0.01,0.01,0.01,  313 ,  266 ,,,,,0.55,0.04,,,,,0.49,0.03,,,,,0.0,0.01,,,,,0.002,0.007,  284 ,,,  254 ,,
16,IDAHO,5,36301,Pocatello,0.43,0.0,0.02,0.0,"  7,505 ",0.35,0.05,0.41,0.02,0.45,0.01,0.12,0.08,0.01,0.01,0.02,0.0,"  6,030 ",  47 ,  788 ,0.45,0.01,0.41,0.01,0.01,0.0,0.03,0.01,"  3,802 ","  3,703 ",0.46,0.08,0.41,0.02,0.47,0.01,0.23,0.06,0.41,0.02,0.43,0.01,-0.01,0.02,0.0,0.0,0.01,0.0,,,0.033,0.01,0.031,0.006,"  3,065 ",  30 ,  398 ,"  2,964 ",  19 ,  390 
16,IDAHO,7,36403,Soda Springs,0.53,0.02,0.0,0.0,  924 ,,,0.49,0.05,0.55,0.02,,,0.0,0.01,0.0,0.0,  849 ,,  44 ,0.5,0.02,0.55,0.02,0.0,0.0,0.0,0.01,  483 ,  439 ,,,0.4,0.07,0.53,0.02,,,0.51,0.07,0.57,0.02,,,,,0.0,0.0,,,-0.007,0.01,0.002,0.003,  440 ,,  20 ,  408 ,,  23 
16,IDAHO,9,38601,Spokane,0.44,0.01,0.02,0.01,"  1,283 ",,,0.35,0.05,0.45,0.02,,,0.0,0.02,0.02,0.01,"  1,005 ",,  44 ,0.46,0.02,0.42,0.02,0.0,0.0,0.03,0.02,  682 ,  602 ,,,,,0.46,0.02,,,,,0.44,0.02,,,,,0.01,0.01,,,,,0.034,0.017,  535 ,,,  471 ,,
16,IDAHO,11,36301,Pocatello,0.47,0.01,0.02,0.0,"  6,260 ",,,0.43,0.01,0.51,0.01,,,0.03,0.01,0.01,0.0,"  4,125 ",,"  1,822 ",0.47,0.01,0.47,0.01,0.01,0.0,0.03,0.01,"  3,154 ","  3,107 ",,,0.42,0.02,0.51,0.01,,,0.45,0.02,0.51,0.01,,,0.01,0.0,0.01,0.0,,,0.058,0.02,0.016,0.004,"  2,092 ",,  962 ,"  2,034 ",,  865 
16,IDAHO,13,35701,Twin Falls,0.46,0.02,0.02,0.01,"  1,716 ",,,0.42,0.05,0.47,0.03,,,0.01,0.02,0.02,0.02,"  1,144 ",,  686 ,0.47,0.03,0.45,0.03,0.0,0.0,0.03,0.02,  864 ,  853 ,,,,,0.48,0.04,,,0.44,0.06,0.46,0.04,,,,,0.0,0.0,,,,,0.041,0.034,  526 ,,  377 ,  623 ,,
16,IDAHO,15,35801,Boise City,0.44,0.02,0.02,0.01,  704 ,,,0.51,0.08,0.46,0.02,,,0.01,0.02,0.02,0.01,  620 ,,  41 ,0.44,0.03,0.45,0.03,0.0,0.0,0.04,0.02,  363 ,  341 ,,,,,0.46,0.03,,,,,0.46,0.03,,,,,0.0,0.0,,,,,0.045,0.026,  321 ,,,  299 ,,
16,IDAHO,17,38601,Spokane,0.46,0.01,0.01,0.0,"  5,094 ",,,0.39,0.04,0.48,0.01,,,-0.01,0.0,0.01,0.0,"  4,694 ",,  121 ,0.47,0.01,0.45,0.01,0.01,0.0,0.02,0.01,"  2,661 ","  2,432 ",,,0.37,0.04,0.49,0.01,,,0.43,0.05,0.47,0.01,,,0.01,0.01,0.01,0.0,,,-0.008,0.01,0.019,0.005,"  2,446 ",,  68 ,"  2,247 ",,  55 
16,IDAHO,19,36301,Pocatello,0.44,0.0,0.02,0.0,"  8,980 ",0.28,0.04,0.43,0.01,0.46,0.01,0.07,0.05,0.02,0.01,0.02,0.0,"  7,144 ",  61 ,"  1,810 ",0.44,0.01,0.44,0.01,0.0,0.0,0.04,0.01,"  4,556 ","  4,425 ",0.27,0.06,0.43,0.02,0.47,0.01,0.29,0.06,0.44,0.02,0.46,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.1,0.1,0.04,0.01,0.033,0.005,"  3,649 ",  33 ,  916 ,"  3,495 ",  27 ,  893 
16,IDAHO,21,34501,Bonners Ferry,0.48,0.01,0.01,0.0,"  1,879 ",,,0.47,0.05,0.5,0.02,,,0.02,0.03,0.01,0.01,"  1,658 ",,  118 ,0.48,0.02,0.48,0.02,0.01,0.01,0.0,0.0,  963 ,  916 ,,,,,0.5,0.02,,,0.6,0.07,0.5,0.02,,,,,0.01,0.01,,,,,0.004,0.003,  855 ,,  49 ,  803 ,,
16,IDAHO,23,36301,Pocatello,0.5,0.03,0.02,0.02,  412 ,,,,,0.52,0.03,,,,,0.03,0.02,  372 ,,,0.52,0.04,0.47,0.04,0.0,0.01,0.06,0.04,  203 ,  210 ,,,,,0.54,0.04,,,,,0.49,0.04,,,,,0.0,0.01,,,,,0.048,0.035,  179 ,,,  193 ,,
16,IDAHO,25,35701,Twin Falls,0.42,0.05,0.01,0.02,  179 ,,,,,0.42,0.05,,,,,0.03,0.05,  164 ,,,,,0.39,0.06,,,0.02,0.04,  101 ,,,,,,,,,,,,0.38,0.06,,,,,,,,,,,-0.012,0.031,  90 ,,,,,
16,IDAHO,27,35801,Boise City,0.41,0.0,0.03,0.0,"  21,544 ",0.38,0.04,0.39,0.01,0.44,0.0,0.08,0.04,0.05,0.01,0.03,0.0,"  13,269 ",  83 ,"  8,082 ",0.42,0.0,0.41,0.0,0.01,0.0,0.06,0.0,"  10,844 ","  10,704 ",0.41,0.05,0.4,0.01,0.44,0.01,0.35,0.05,0.39,0.01,0.44,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.21,0.11,0.088,0.01,0.046,0.005,"  6,627 ",  32 ,"  4,082 ","  6,645 ",  53 ,"  4,004 "
16,IDAHO,29,36403,Soda Springs,0.52,0.02,0.02,0.01,  805 ,,,0.51,0.07,0.54,0.02,,,0.14,0.07,0.01,0.01,  737 ,,  59 ,0.52,0.02,0.52,0.02,0.0,0.0,0.03,0.02,  390 ,  415 ,,,,,0.53,0.02,,,,,0.55,0.02,,,,,0.0,0.01,,,,,0.025,0.016,  357 ,,,  379 ,,
16,IDAHO,31,35702,Burley,0.46,0.01,0.03,0.01,"  3,861 ",,,0.43,0.01,0.51,0.01,,,0.05,0.01,0.01,0.0,"  2,467 ",,"  1,382 ",0.45,0.01,0.47,0.01,0.0,0.0,0.06,0.01,"  1,977 ","  1,883 ",,,0.41,0.02,0.5,0.01,,,0.45,0.02,0.53,0.01,,,0.01,0.0,0.0,0.0,,,0.099,0.02,0.032,0.009,"  1,242 ",,  736 ,"  1,223 ",,  649 
16,IDAHO,33,36301,Pocatello,0.51,0.04,-0.02,0.01,  266 ,,,0.5,0.06,0.57,0.05,,,0.01,0.03,0.03,0.04,  130 ,,  138 ,0.54,0.05,0.45,0.06,-0.02,0.02,0.01,0.02,  136 ,  130 ,,,,,0.62,0.07,,,,,0.52,0.08,,,,,0.0,0.03,,,,,-0.041,0.035,  69 ,,,  60 ,,
16,IDAHO,35,38401,Lewiston,0.48,0.02,0.01,0.01,"  1,037 ",,,,,0.48,0.02,,,,,0.01,0.01,  936 ,,,0.5,0.02,0.47,0.02,0.01,0.01,0.01,0.0,  519 ,  518 ,,,,,0.51,0.02,,,,,0.46,0.03,,,,,0.02,0.01,,,,,0.0,0.004,  459 ,,,  478 ,,
16,IDAHO,37,36302,Salmon,0.55,0.03,0.0,0.0,  603 ,,,,,0.57,0.03,,,,,0.0,0.0,  554 ,,,0.56,0.04,0.54,0.04,0.01,0.01,0.01,0.01,  303 ,  298 ,,,,,0.56,0.04,,,,,0.57,0.04,,,,,0.0,0.01,,,,,0.016,0.019,  276 ,,,  278 ,,
16,IDAHO,39,35801,Boise City,0.43,0.01,0.02,0.0,"  4,320 ",0.4,0.03,0.46,0.02,0.44,0.01,0.02,0.02,0.01,0.0,0.02,0.0,"  2,884 ",  147 ,"  1,159 ",0.44,0.01,0.41,0.01,0.0,0.0,0.04,0.01,"  2,238 ","  2,083 ",0.42,0.04,0.48,0.03,0.46,0.01,0.4,0.04,0.44,0.02,0.42,0.01,-0.01,0.01,0.0,0.0,0.0,0.0,0.06,0.04,0.007,0.01,0.048,0.01,"  1,478 ",  71 ,  688 ,"  1,407 ",  77 ,  491 
16,IDAHO,41,36200,Logan,0.53,0.01,0.01,0.0,"  2,113 ",,,0.48,0.04,0.54,0.01,,,0.0,0.0,0.01,0.0,"  1,904 ",,  181 ,0.55,0.02,0.5,0.01,0.0,0.0,0.02,0.01,"  1,052 ","  1,061 ",,,0.5,0.05,0.56,0.02,,,0.48,0.05,0.52,0.02,,,0.01,0.01,0.0,0.0,,,0.008,0.01,0.019,0.008,  953 ,,  105 ,  951 ,,  77 
16,IDAHO,43,36301,Pocatello,0.47,0.01,0.02,0.0,"  2,339 ",,,0.45,0.03,0.49,0.01,,,0.0,0.01,0.02,0.01,"  1,867 ",,  468 ,0.5,0.02,0.45,0.02,0.0,0.0,0.04,0.01,"  1,197 ","  1,141 ",,,0.49,0.04,0.52,0.02,,,0.4,0.04,0.47,0.02,,,0.01,0.01,0.0,0.0,,,0.036,0.03,0.037,0.013,  949 ,,  241 ,  916 ,,  225 
16,IDAHO,45,35801,Boise City,0.45,0.01,0.03,0.01,"  2,325 ",,,0.45,0.03,0.46,0.01,,,0.05,0.03,0.03,0.01,"  1,894 ",,  376 ,0.45,0.01,0.45,0.01,0.01,0.01,0.05,0.01,"  1,188 ","  1,138 ",,,0.41,0.03,0.47,0.01,,,0.49,0.04,0.46,0.01,,,0.0,0.0,0.01,0.01,,,0.098,0.05,0.041,0.01,  994 ,,  173 ,  900 ,,  202 
16,IDAHO,47,35701,Twin Falls,0.46,0.01,0.03,0.01,"  2,542 ",,,0.44,0.02,0.49,0.01,,,0.02,0.01,0.03,0.01,"  1,662 ",,  917 ,0.47,0.01,0.44,0.01,0.0,0.0,0.05,0.01,"  1,298 ","  1,243 ",,,0.47,0.03,0.51,0.02,,,0.41,0.03,0.48,0.02,,,0.01,0.01,0.0,0.0,,,0.044,0.03,0.053,0.015,  839 ,,  488 ,  822 ,,  428 
16,IDAHO,49,38401,Lewiston,0.49,0.01,0.01,0.0,"  2,118 ",,,0.43,0.05,0.51,0.01,,,0.0,0.01,0.01,0.01,"  1,852 ",,  63 ,0.5,0.02,0.49,0.02,0.0,0.0,0.02,0.01,"  1,068 ","  1,050 ",,,0.42,0.06,0.53,0.02,,,,,0.5,0.02,,,0.0,0.01,0.0,0.0,,,,,0.025,0.01,  947 ,,,  903 ,,  39 
16,IDAHO,51,36301,Pocatello,0.5,0.01,0.01,0.0,"  3,206 ",,,0.48,0.02,0.52,0.01,,,0.04,0.01,0.01,0.0,"  2,623 ",,  664 ,0.52,0.01,0.49,0.01,0.0,0.0,0.03,0.01,"  1,563 ","  1,642 ",,,0.46,0.03,0.53,0.01,,,0.49,0.03,0.5,0.01,,,0.0,0.0,0.0,0.0,,,0.065,0.03,0.02,0.007,"  1,258 ",,  366 ,"  1,363 ",,  299 
16,IDAHO,53,35701,Twin Falls,0.45,0.01,0.03,0.01,"  3,192 ",,,0.45,0.02,0.47,0.01,,,0.02,0.01,0.03,0.01,"  2,124 ",,"  1,229 ",0.44,0.01,0.46,0.01,0.01,0.01,0.04,0.01,"  1,625 ","  1,567 ",,,0.43,0.02,0.46,0.01,,,0.46,0.02,0.48,0.01,,,0.01,0.01,0.01,0.0,,,0.03,0.02,0.041,0.01,"  1,067 ",,  652 ,"  1,057 ",,  578 
16,IDAHO,55,38601,Spokane,0.45,0.0,0.02,0.0,"  13,509 ",0.42,0.06,0.42,0.02,0.46,0.0,0.12,0.1,0.02,0.01,0.02,0.0,"  12,064 ",  42 ,  577 ,0.45,0.01,0.45,0.01,0.01,0.0,0.03,0.0,"  6,935 ","  6,573 ",,,0.43,0.02,0.46,0.01,,,0.4,0.02,0.46,0.01,,,0.0,0.0,0.01,0.0,,,0.047,0.02,0.029,0.004,"  6,181 ",,  284 ,"  5,882 ",,  292 
16,IDAHO,57,38402,Pullman,0.48,0.01,0.01,0.0,"  2,459 ",0.54,0.12,0.37,0.04,0.49,0.01,,,0.0,0.01,0.01,0.0,"  2,198 ",  10 ,  109 ,0.49,0.01,0.46,0.01,0.0,0.0,0.02,0.01,"  1,265 ","  1,194 ",,,0.39,0.05,0.51,0.01,,,0.34,0.06,0.48,0.01,,,-0.01,0.01,0.0,0.0,,,0.016,0.02,0.015,0.007,"  1,153 ",,  46 ,"  1,046 ",,  62 
16,IDAHO,59,36302,Salmon,0.47,0.01,0.02,0.01,"  1,263 ",,,0.45,0.05,0.48,0.01,,,0.07,0.04,0.02,0.01,"  1,155 ",,  58 ,0.48,0.02,0.46,0.02,0.0,0.0,0.04,0.01,  657 ,  607 ,,,,,0.48,0.02,,,0.4,0.06,0.47,0.02,,,,,0.0,0.0,,,0.093,0.08,0.033,0.014,  598 ,,  31 ,  558 ,,
16,IDAHO,61,38401,Lewiston,0.45,0.03,0.01,0.01,  620 ,,,,,0.49,0.03,,,,,0.01,0.01,  522 ,,,0.41,0.04,0.47,0.03,0.0,0.01,0.01,0.01,  363 ,  253 ,,,,,0.47,0.04,,,,,0.49,0.04,,,,,0.01,0.02,,,,,0.012,0.013,  309 ,,,  211 ,,
16,IDAHO,63,35701,Twin Falls,0.49,0.02,0.0,0.0,  862 ,,,0.49,0.04,0.54,0.02,,,0.01,0.01,0.0,0.0,  632 ,,  215 ,0.47,0.02,0.51,0.02,0.0,0.0,0.0,0.0,  434 ,  428 ,,,0.4,0.05,0.52,0.03,,,0.6,0.05,0.56,0.03,,,-0.01,0.01,0.01,0.01,,,-0.032,0.02,0.002,0.004,  317 ,,  119 ,  315 ,,  97 
16,IDAHO,65,36301,Pocatello,0.52,0.01,0.01,0.0,"  2,866 ",,,0.47,0.03,0.53,0.01,,,0.0,0.0,0.01,0.0,"  2,501 ",,  355 ,0.52,0.01,0.51,0.01,0.01,0.0,0.01,0.01,"  1,479 ","  1,385 ",,,0.42,0.04,0.54,0.01,,,0.51,0.04,0.52,0.01,,,-0.01,0.01,0.01,0.0,,,-0.002,0.01,0.018,0.006,"  1,286 ",,  191 ,"  1,213 ",,  163 
16,IDAHO,67,35702,Burley,0.46,0.01,0.03,0.01,"  3,642 ",,,0.45,0.01,0.49,0.01,,,0.03,0.01,0.02,0.01,"  1,898 ",,"  1,789 ",0.45,0.01,0.46,0.01,0.0,0.0,0.05,0.01,"  1,817 ","  1,823 ",,,0.45,0.02,0.49,0.01,,,0.46,0.02,0.49,0.01,,,0.0,0.0,0.0,0.0,,,0.059,0.02,0.047,0.013,  931 ,,  960 ,  967 ,,  835 
16,IDAHO,69,38401,Lewiston,0.43,0.01,0.03,0.01,"  3,199 ",,,0.41,0.03,0.45,0.01,,,0.05,0.03,0.03,0.01,"  2,616 ",,  148 ,0.45,0.01,0.42,0.01,0.0,0.0,0.06,0.01,"  1,688 ","  1,512 ",,,0.43,0.04,0.48,0.01,,,0.4,0.05,0.43,0.01,,,0.02,0.02,0.0,0.0,,,0.085,0.06,0.059,0.012,"  1,389 ",,  69 ,"  1,227 ",,  79 
16,IDAHO,71,36200,Logan,0.54,0.02,0.02,0.01,  617 ,,,0.37,0.06,0.56,0.02,,,-0.01,0.02,0.02,0.01,  590 ,,  26 ,0.56,0.02,0.52,0.03,0.0,0.0,0.03,0.02,  308 ,  308 ,,,,,0.58,0.02,,,,,0.55,0.03,,,,,0.01,0.01,,,,,0.031,0.018,  294 ,,,  292 ,,
16,IDAHO,73,35801,Boise City,0.46,0.01,0.02,0.01,"  2,490 ",,,0.45,0.02,0.49,0.01,,,0.03,0.01,0.02,0.01,"  1,454 ",,  970 ,0.46,0.02,0.45,0.02,0.0,0.0,0.03,0.01,"  1,301 ","  1,187 ",,,0.44,0.03,0.51,0.02,,,0.47,0.03,0.48,0.02,,,0.0,0.0,0.01,0.0,,,0.052,0.03,0.033,0.014,  725 ,,  542 ,  723 ,,  423 
16,IDAHO,75,35802,Ontario,0.42,0.01,0.02,0.0,"  3,470 ",,,0.39,0.02,0.44,0.01,,,0.01,0.0,0.01,0.0,"  2,588 ",,  853 ,0.43,0.01,0.41,0.01,0.01,0.0,0.02,0.01,"  1,782 ","  1,687 ",,,0.4,0.02,0.45,0.01,,,0.37,0.02,0.43,0.01,,,0.0,0.0,0.01,0.0,,,0.013,0.01,0.019,0.006,"  1,334 ",,  449 ,"  1,253 ",,  405 
16,IDAHO,77,36301,Pocatello,0.45,0.01,0.03,0.01,"  1,354 ",,,0.44,0.02,0.5,0.02,,,0.01,0.01,0.04,0.01,  726 ,,  635 ,0.43,0.02,0.48,0.02,0.01,0.01,0.05,0.02,  691 ,  664 ,,,0.38,0.03,0.5,0.02,,,0.5,0.03,0.51,0.02,,,0.0,0.0,0.02,0.01,,,0.034,0.02,0.068,0.025,  368 ,,  348 ,  358 ,,  291 
16,IDAHO,79,38601,Spokane,0.42,0.01,0.03,0.01,"  1,957 ",,,0.44,0.05,0.44,0.01,,,0.0,0.01,0.03,0.01,"  1,748 ",,  53 ,0.43,0.02,0.41,0.02,0.01,0.01,0.06,0.02,"  1,019 ",  939 ,,,0.38,0.07,0.46,0.02,,,0.51,0.07,0.42,0.02,,,-0.01,0.01,0.0,0.0,,,,,0.055,0.019,  892 ,,  34 ,  855 ,,  20 
16,IDAHO,81,36303,Jackson,0.52,0.02,0.0,0.0,"  1,081 ",,,,,0.54,0.02,,,,,0.0,0.0,  864 ,,,0.51,0.03,0.54,0.03,0.0,0.0,0.01,0.01,  560 ,  521 ,,,,,0.52,0.03,,,,,0.56,0.03,,,,,0.0,0.01,,,,,0.013,0.01,  432 ,,,  433 ,,
16,IDAHO,83,35701,Twin Falls,0.45,0.0,0.03,0.0,"  9,141 ",0.42,0.07,0.44,0.01,0.46,0.01,0.12,0.1,0.04,0.01,0.03,0.0,"  6,991 ",  25 ,"  1,865 ",0.45,0.01,0.44,0.01,0.01,0.0,0.05,0.01,"  4,697 ","  4,444 ",,,0.43,0.01,0.47,0.01,,,0.45,0.02,0.46,0.01,,,0.01,0.0,0.01,0.0,,,0.07,0.02,0.048,0.006,"  3,603 ",,  954 ,"  3,388 ",,  910 
16,IDAHO,85,35803,McCall,0.46,0.02,0.01,0.01,  934 ,,,,,0.47,0.02,,,,,0.01,0.01,  878 ,,,0.47,0.03,0.45,0.03,0.0,0.01,0.03,0.02,  445 ,  486 ,,,,,0.48,0.03,,,,,0.46,0.03,,,,,-0.01,0.0,,,,,0.046,0.028,  420 ,,,  457 ,,
16,IDAHO,87,35802,Ontario,0.46,0.01,0.01,0.0,"  1,579 ",,,0.45,0.02,0.47,0.01,,,0.02,0.01,0.01,0.0,"  1,155 ",,  469 ,0.46,0.01,0.46,0.02,0.0,0.0,0.02,0.01,  782 ,  796 ,,,0.47,0.03,0.47,0.02,,,0.43,0.03,0.47,0.02,,,0.03,0.02,0.0,0.0,,,0.03,0.02,0.021,0.01,  579 ,,  245 ,  576 ,,  225 
17,ILLINOIS,1,25000,Quincy,0.43,0.01,0.03,0.0,"  7,237 ",0.3,0.02,0.43,0.04,0.45,0.01,0.1,0.03,0.01,0.02,0.02,0.0,"  6,382 ",  467 ,  119 ,0.43,0.01,0.43,0.01,0.01,0.0,0.04,0.01,"  3,768 ","  3,472 ",0.31,0.02,0.34,0.05,0.46,0.01,0.29,0.03,0.53,0.07,0.45,0.01,0.03,0.02,-0.01,0.01,0.01,0.0,0.2,0.05,0.002,0.01,0.028,0.006,"  3,361 ",  233 ,  50 ,"  3,025 ",  234 ,  70 
17,ILLINOIS,3,25601,Carbondale,0.32,0.01,0.04,0.01,"  1,744 ",0.29,0.01,,,0.37,0.02,0.07,0.02,,,0.02,0.01,  715 ,  958 ,,0.35,0.01,0.3,0.01,0.01,0.0,0.09,0.02,  922 ,  819 ,0.32,0.02,,,0.4,0.03,0.28,0.02,,,0.34,0.02,0.02,0.01,,,0.0,0.0,0.13,0.03,,,0.028,0.019,  391 ,  472 ,,  326 ,  490 ,
