state code,state,county,cz,czname,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_se, pooled_pooled_count ,kfr_black_pooled_p25,kfr_black_pooled_p25_se,kfr_hisp_pooled_p25,kfr_hisp_pooled_p25_se,kfr_white_pooled_p25,kfr_white_pooled_p25_se,jail_black_pooled_p25,jail_black_pooled_p25_se,jail_hisp_pooled_p25,jail_hisp_pooled_p25_se,jail_white_pooled_p25,jail_white_pooled_p25_se, white_pooled_count , black_pooled_count , hisp_pooled_count ,kfr_pooled_female_p25,kfr_pooled_female_p25_se,kfr_pooled_male_p25,kfr_pooled_male_p25_se,jail_pooled_female_p25,jail_pooled_female_p25_se,jail_pooled_male_p25,jail_pooled_male_p25_se, pooled_male_count , pooled_female_count ,kfr_black_female_p25,kfr_black_female_p25_se,kfr_hisp_female_p25,kfr_hisp_female_p25_se,kfr_white_female_p25,kfr_white_female_p25_se,kfr_black_male_p25,kfr_black_male_p25_se,kfr_hisp_male_p25,kfr_hisp_male_p25_se,kfr_white_male_p25,kfr_white_male_p25_se,jail_black_female_p25,jail_black_female_p25_se,jail_hisp_female_p25,jail_hisp_female_p25_se,jail_white_female_p25,jail_white_female_p25_se,jail_black_male_p25,jail_black_male_p25_se,jail_hisp_male_p25,jail_hisp_male_p25_se,jail_white_male_p25,jail_white_male_p25_se, white_male_count , black_male_count , hisp_male_count , white_female_count , black_female_count , hisp_female_count 
48,TEXAS,309,32801,Waco,0.37,0.0,0.06,0.0,"  33,545 ",0.31,0.0,0.38,0.0,0.45,0.0,0.11,0.01,0.04,0.0,0.03,0.0,"  12,243 ","  8,955 ","  11,720 ",0.39,0.0,0.36,0.0,0.01,0.0,0.11,0.0,"  17,172 ","  16,372 ",0.33,0.0,0.39,0.01,0.46,0.01,0.29,0.01,0.37,0.01,0.43,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.23,0.01,0.08,0.01,0.058,0.006,"  6,309 ","  4,553 ","  6,026 ","  5,933 ","  4,399 ","  5,694 "
48,TEXAS,311,31301,San Antonio,0.4,0.04,-0.05,0.03,  170 ,,,,,0.51,0.08,,,,,,,  78 ,,,0.38,0.05,0.44,0.06,,,,,  91 ,  80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,TEXAS,313,32201,Huntsville,0.4,0.01,0.03,0.01,"  1,892 ",0.31,0.02,0.42,0.02,0.48,0.02,0.06,0.02,0.01,0.01,0.01,0.0,  893 ,  494 ,  453 ,0.4,0.01,0.4,0.02,0.01,0.01,0.05,0.01,  967 ,  925 ,0.32,0.02,0.43,0.03,0.44,0.02,0.29,0.02,0.4,0.04,0.52,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.09,0.04,0.063,0.04,0.008,0.007,  472 ,  247 ,  226 ,  423 ,  245 ,  215 
48,TEXAS,315,33400,Longview,0.4,0.01,0.04,0.01,"  1,805 ",0.36,0.01,0.39,0.05,0.43,0.01,0.06,0.02,0.08,0.05,0.03,0.01,"  1,015 ",  638 ,  84 ,0.39,0.01,0.41,0.01,0.02,0.01,0.06,0.01,  949 ,  857 ,0.35,0.02,,,0.43,0.02,0.38,0.03,,,0.44,0.02,0.02,0.01,,,0.03,0.01,0.1,0.03,,,0.044,0.016,  544 ,  312 ,,  470 ,  325 ,
48,TEXAS,317,31401,Midland,0.51,0.02,0.01,0.01,"  1,123 ",,,0.48,0.03,0.62,0.04,,,0.01,0.01,0.01,0.01,  371 ,,  718 ,0.45,0.03,0.54,0.03,0.0,0.0,0.02,0.02,  567 ,  557 ,,,0.43,0.03,0.61,0.06,,,0.55,0.04,0.63,0.05,,,0.0,0.01,0.01,0.02,,,0.029,0.03,-0.005,0.012,  214 ,,  349 ,  147 ,,  369 
48,TEXAS,319,31304,Mason,0.52,0.03,0.01,0.02,  601 ,,,0.36,0.06,0.62,0.04,,,,,0.07,0.03,  351 ,,  269 ,0.53,0.04,0.5,0.05,0.01,0.01,0.06,0.05,  302 ,  296 ,,,,,0.66,0.05,,,,,0.57,0.06,,,,,0.0,0.02,,,,,0.137,0.075,  173 ,,,  176 ,,
48,TEXAS,321,31900,Pearland,0.44,0.01,0.03,0.0,"  6,409 ",0.36,0.01,0.48,0.01,0.48,0.01,0.06,0.01,0.01,0.0,0.03,0.01,"  1,423 ","  1,289 ","  3,475 ",0.43,0.01,0.45,0.01,0.01,0.0,0.05,0.01,"  3,311 ","  3,097 ",0.37,0.02,0.46,0.01,0.47,0.02,0.35,0.02,0.5,0.01,0.48,0.02,0.02,0.01,0.0,0.0,0.01,0.01,0.11,0.03,0.028,0.01,0.059,0.018,  725 ,  656 ,"  1,832 ",  699 ,  633 ,"  1,643 "
48,TEXAS,323,32306,Eagle Pass,0.45,0.0,0.01,0.0,"  15,313 ",,,0.48,0.0,0.48,0.03,,,0.01,0.0,0.02,0.01,  266 ,,"  14,655 ",0.45,0.01,0.46,0.01,0.0,0.0,0.03,0.0,"  7,704 ","  7,608 ",,,0.48,0.01,0.47,0.04,,,0.49,0.01,0.49,0.04,,,0.0,0.0,0.02,0.02,,,0.025,0.0,0.032,0.025,  135 ,,"  7,356 ",  132 ,,"  7,298 "
48,TEXAS,325,31301,San Antonio,0.43,0.01,0.01,0.0,"  6,772 ",0.52,0.06,0.42,0.01,0.48,0.01,,,0.02,0.0,0.0,0.0,"  1,907 ",  49 ,"  4,819 ",0.42,0.01,0.44,0.01,0.0,0.0,0.03,0.01,"  3,516 ","  3,256 ",,,0.41,0.01,0.48,0.02,,,0.43,0.01,0.48,0.02,,,0.0,0.0,0.0,0.0,,,0.033,0.01,0.01,0.006,"  1,021 ",,"  2,470 ",  886 ,,"  2,348 "
48,TEXAS,327,32303,Junction,0.39,0.03,0.02,0.02,  443 ,,,0.32,0.05,0.47,0.05,,,-0.04,0.02,0.05,0.04,  194 ,,  249 ,0.36,0.04,0.4,0.04,0.0,0.02,0.04,0.04,  245 ,  198 ,,,,,0.43,0.07,,,0.31,0.06,0.51,0.07,,,,,0.02,0.04,,,,,0.097,0.072,  108 ,,  139 ,  87 ,,
